ID,Binomial,English,Museum_collection,Museum_accession,Sex,Museum_genus,Museum_species,Museum_subspecies,Specimen_label_photos,MMB_scan_url,Markup_1,Markup_2,Markup_3,Markup_4
Macrocephalon_maleo_1,Macrocephalon_maleo,Maleo,Tring,73.5.12.2191,M,Macrocephalon,maleo,,Y,https://www.markmybird.org/gallery/macrocephalon_maleo/974,696_RichardParker,40_chris13,41_Emma,5_Jen
Megapodius_freycinet_1,Megapodius_freycinet,Dusky Megapode,Tring,81.5.1.5666,M,Megapodius,freycinet,,,https://www.markmybird.org/gallery/megapodius_freycinet/269,175_JohnF,36_zoe,44_Chris,43_elliot
Eulipoa_wallacei_1,Eulipoa_wallacei,Moluccan Megapode,Tring,73.5.12.2192,F,Eulipoa,wallacei,,Y,https://www.markmybird.org/gallery/eulipoa_wallacei/807,304_CLRowe,363_Peregrin3,44_Chris,43_elliot
Leipoa_ocellata_1,Leipoa_ocellata,Malleefowl,Tring,477,U,Leipoa,ocellata,,Y,https://www.markmybird.org/gallery/leipoa_ocellata/938,36_zoe,369_Gepwin,4_gavin,44_Chris
Lerwa_lerwa_1,Lerwa_lerwa,Snow Partridge,Tring,1965.M.1786,M,Lerwa,lerwa,,Y,https://www.markmybird.org/gallery/lerwa_lerwa/1783,465_JSquirrell,36_zoe,44_Chris,43_elliot
Ammoperdix_griseogularis_1,Ammoperdix_griseogularis,See-see Partridge,Tring,1924.320.25,M,Ammoperdix,griseogularis,,Y,https://www.markmybird.org/gallery/ammoperdix_griseogularis/1190,44_Chris,445_drugantibus,36_zoe,43_elliot
Tetraogallus_caspius_1,Tetraogallus_caspius,Caspian Snowcock,Tring,1910.6.9.2,M,Tetraogallus,caspius,caspius,Y,https://www.markmybird.org/gallery/tetraogallus_caspius/3597,44_Chris,43_elliot,765_lubnick134,
Tetraophasis_szechenyii_1,Tetraophasis_szechenyii,Buff-throated Partridge,Tring,1923.11.11.3,M,Tetraophasis,szechenyii,,Y,https://www.markmybird.org/gallery/tetraophasis_szechenyii/483,485_oharar,43_elliot,363_Peregrin3,44_Chris
Alectoris_chukar_1,Alectoris_chukar,Chukar,Manchester,4114,U,Alectoris,chukar,,,https://www.markmybird.org/gallery/alectoris_chukar/530,48_okeeffeml,43_elliot,36_zoe,44_Chris
Francolinus_jacksoni_1,Francolinus_jacksoni,Jackson's Francolin,Tring,1910.12.26.3,M,Francolinus,jacksoni,jacksoni,Y,https://www.markmybird.org/gallery/francolinus_jacksoni/3484,665_Chris W,44_Chris,43_elliot,
Perdix_perdix_1,Perdix_perdix,Grey Partridge,Tring,1941.5.30.8917,M,Perdix,perdix,,Y,https://www.markmybird.org/gallery/perdix_perdix/341,175_JohnF,43_elliot,44_Chris,36_zoe
