ID,Binomial,English,Museum_collection,Museum_accession,Sex,Museum_genus,Museum_species,Museum_subspecies,Specimen_label_photos,MMB_scan_url,Markup_1,Markup_2,Markup_3,Markup_4
Cariama_cristata_3,Cariama_cristata,Red-legged Seriema,Tring,1903.12.20.216,M,Cariama,cristata,,Y,https://www.markmybird.org/gallery/cariama_cristata/98,56_hughbrazier,635_MNeateClegg,44_Chris,396_Arasevera
Chunga_burmeisteri_1,Chunga_burmeisteri,Black-legged Seriema,Tring,1932.10.28.3,F,Chunga,burmeisteri,,Y,https://www.markmybird.org/gallery/chunga_burmeisteri/684,56_hughbrazier,147_EllenB75,35_Lara,43_elliot
Rhynochetos_jubatus_1,Rhynochetos_jubatus,Kagu,Tring,97.10.130.86,F,Rhynochetos,jubatus,,Y,https://www.markmybird.org/gallery/rhynochetos_jubatus/426,190_Pardalotus,43_elliot,369_Gepwin,35_Lara
Himantornis_haematopus_1,Himantornis_haematopus,Nkulengu Rail,Tring,1920.6.26.64,U,Himantornis,haematopus,haematopus,Y,https://www.markmybird.org/gallery/himantornis_haematopus/231,44_Chris,639_Mike Martin,363_Peregrin3,43_elliot
Canirallus_oculeus_1,Canirallus_oculeus,Grey-throated Rail,Tring,1920.6.26.19,F,Canirallus,oculeus,batesi,Y,https://www.markmybird.org/gallery/canirallus_oculeus/94,43_elliot,190_Pardalotus,44_Chris,396_Arasevera
Sarothrura_pulchra_1,Sarothrura_pulchra,White-spotted Flufftail,Tring,1977.20.57,M,Sarothrura,pulchra,pulchra,Y,https://www.markmybird.org/gallery/sarothrura_pulchra/437,41_Emma,43_elliot,40_chris13,44_Chris
Coturnicops_exquisitus_1,Coturnicops_exquisitus,Swinhoe's Rail,Tring,94.1.20.80,M,Coturnicops,exquisita,,Y,https://www.markmybird.org/gallery/coturnicops_exquisitus/725,303_evwudeck,363_Peregrin3,4_gavin,36_zoe
Micropygia_schomburgkii_1,Micropygia_schomburgkii,Ocellated Crake,Tring,89.11.20.182,M,Micropygia,schomburgkii,,Y,https://www.markmybird.org/gallery/micropygia_schomburgkii/1019,36_zoe,43_elliot,44_Chris,35_Lara
Rallina_fasciata_1,Rallina_fasciata,Red-legged Crake,Manchester,4408,U,Rallina,fasciata,,,https://www.markmybird.org/gallery/rallina_fasciata/1359,44_Chris,485_oharar,52_grrlscientist,43_elliot
Anurolimnas_castaneiceps_1,Anurolimnas_castaneiceps,Chestnut-headed Crake,Tring,89.11.20.136,U,Anurolimnas,castaneiceps,,Y,https://www.markmybird.org/gallery/anurolimnas_castaneiceps/1200,44_Chris,43_elliot,36_zoe,35_Lara
Laterallus_melanophaius_1,Laterallus_melanophaius,Rufous-sided Crake,Tring,95.4.1.60,M,Laterallus,melanophaius,melanophaius,Y,https://www.markmybird.org/gallery/laterallus_melanophaius/1789,465_JSquirrell,52_grrlscientist,44_Chris,35_Lara
Gallirallus_torquatus_1,Gallirallus_torquatus,Barred Rail,Tring,89.11.3.44,M,Rallus,torquatus,torquatus,Y,https://www.markmybird.org/gallery/gallirallus_torquatus/3488,36_zoe,541_W.W,44_Chris,
Rallus_longirostris_1,Rallus_longirostris,Clapper Rail,Tring,97.11.17.18,M,Rallus,longirostris,crassirostris,Y,https://www.markmybird.org/gallery/rallus_longirostris/1360,36_zoe,52_grrlscientist,396_Arasevera,44_Chris
Lewinia_pectoralis_1,Lewinia_pectoralis,Lewin's Rail,Tring,1949.62.15,M,Rallus,pectoralis,alberti,Y,https://www.markmybird.org/gallery/lewinia_pectoralis/1778,40_chris13,590_Marjo,485_oharar,36_zoe
Dryolimnas_cuvieri_1,Dryolimnas_cuvieri,White-throated Rail,Tring,91.8.1.83,M,Dryolimnas,cuvieri,cuvieri,Y,https://www.markmybird.org/gallery/dryolimnas_cuvieri/772,48_okeeffeml,366_Gandalf19,40_chris13,5_Jen
Crecopsis_egregia_1,Crecopsis_egregia,African Crake,Tring,1939.3.13.19,M,Crecopsis,egregia,,Y,https://www.markmybird.org/gallery/crecopsis_egregia/1920,40_chris13,449_gianluca,43_elliot,44_Chris
Crex_crex_1,Crex_crex,Corncrake,Tring,1919.12.10.568,M,Crex,crex,,Y,https://www.markmybird.org/gallery/crex_crex/729,48_okeeffeml,368_rvalkass,363_Peregrin3,36_zoe
Rougetius_rougetii_1,Rougetius_rougetii,Rouget's Rail,Tring,1927.11.5.64,M,Rougetius,rougetii,,Y,https://www.markmybird.org/gallery/rougetius_rougetii/1385,50_kathrynross27,52_grrlscientist,36_zoe,44_Chris
Atlantisia_rogersi_1,Atlantisia_rogersi,Inaccessible Rail,Tring,1953.55.105,M,Atlantisia,rogersi,,Y,https://www.markmybird.org/gallery/atlantisia_rogersi/576,56_hughbrazier,368_rvalkass,363_Peregrin3,43_elliot
Aramides_cajanea_1,Aramides_cajanea,Grey-necked Wood-rail,Manchester,4405,U,Aramides,cajanea,,,https://www.markmybird.org/gallery/aramides_cajanea/563,72_Steph,43_elliot,363_Peregrin3,36_zoe
Amaurolimnas_concolor_1,Amaurolimnas_concolor,Uniform Crake,Tring,47.6.8.5,U,Amaurolimnas,concolor,concolor,Y,https://www.markmybird.org/gallery/amaurolimnas_concolor/1183,44_Chris,404_Nathaniel,52_grrlscientist,36_zoe
Gymnocrex_rosenbergii_1,Gymnocrex_rosenbergii,Blue-faced Rail,Tring,97.12.14.70,M,Gymnocrex,rosenbergii,,,https://www.markmybird.org/gallery/gymnocrex_rosenbergii/855,485_oharar,372_Bullfinch,44_Chris,35_Lara
Amaurornis_olivacea_1,Amaurornis_olivacea,Bush-hen,Tring,89.11.3.62,M,Amaurornis,olivaceus,olivaceus,Y,https://www.markmybird.org/gallery/amaurornis_olivacea/3452,36_zoe,665_Chris W,40_chris13,44_Chris
Porzana_parva_4,Porzana_parva,Little Crake,Tring,1934.1.1.2027,M,Porzana,parva,,Y,https://www.markmybird.org/gallery/porzana_parva/386,190_Pardalotus,43_elliot,183_ThomasG,44_Chris
Aenigmatolimnas_marginalis_1,Aenigmatolimnas_marginalis,Striped Crake,Tring,1965.M.2453,M,Porzana,marginalis,marginalis,Y,https://www.markmybird.org/gallery/aenigmatolimnas_marginalis/1178,43_elliot,36_zoe,52_grrlscientist,44_Chris
Neocrex_colombiana_1,Neocrex_colombiana,Colombian Crake,Tring,1901.10.14.6,M,Neocrex,erythrops,colombianus,Y,https://www.markmybird.org/gallery/neocrex_colombiana/3407,485_oharar,43_elliot,35_Lara,44_Chris
Pardirallus_maculatus_1,Pardirallus_maculatus,Spotted Rail,Tring,1914.12.2.2,M,Pardirallus,maculatus,,Y,https://www.markmybird.org/gallery/pardirallus_maculatus/1130,40_chris13,5_Jen,44_Chris,36_zoe
Eulabeornis_castaneoventris_1,Eulabeornis_castaneoventris,Chestnut Rail,Tring,81.11.7.704,U,Eulabeornis,castaneoventris,sharpei,,https://www.markmybird.org/gallery/eulabeornis_castaneoventris/805,304_CLRowe,368_rvalkass,363_Peregrin3,36_zoe
Habroptila_wallacii_1,Habroptila_wallacii,Invisible Rail,Tring,1939.12.9.3677,M,Habroptila,wallacii,,Y,https://www.markmybird.org/gallery/habroptila_wallacii/862,4_gavin,72_Steph,44_Chris,43_elliot
Megacrex_inepta_1,Megacrex_inepta,New Guinea Flightless Rail,Tring,1911.12.20.341,F,Megacrex,inepta,,,https://www.markmybird.org/gallery/megacrex_inepta/990,20_angela,363_Peregrin3,44_Chris,43_elliot
Gallicrex_cinerea_1,Gallicrex_cinerea,Watercock,Manchester,66542,F,Gallicrex,cinerea,,,https://www.markmybird.org/gallery/gallicrex_cinerea/824,278_I,43_elliot,44_Chris,645_justinwalker
Porphyrio_porphyrio_1,Porphyrio_porphyrio,Purple Swamphen,Manchester,8696,M,Porphyrio,porphyrio,,,https://www.markmybird.org/gallery/porphyrio_porphyrio/1309,40_chris13,36_zoe,398_crossbill,696_RichardParker
Gallinula_nesiotis_1,Gallinula_nesiotis,Gough Moorhen,Tring,1922.12.6.95,M,Porphyriops,nesiotis,comeri,Y,https://www.markmybird.org/gallery/gallinula_nesiotis/1857,40_chris13,696_RichardParker,592_angelaMc,44_Chris
Fulica_armillata_1,Fulica_armillata,Red-gartered Coot,Tring,92.6.29.43,M,Fulica,armillata,,Y,https://www.markmybird.org/gallery/fulica_armillata/3486,40_chris13,592_angelaMc,44_Chris,
Mesitornis_unicolor_1,Mesitornis_unicolor,Brown Mesite,Tring,82.6.3.1,U,Mesoenas,unicolor,,Y,https://www.markmybird.org/gallery/mesitornis_unicolor/281,36_zoe,249_Lordofthepies,363_Peregrin3,44_Chris
Monias_benschi_5,Monias_benschi,Subdesert Mesite,Tring,1931.8.18.1748,M,Monias,benschi,,Y,https://www.markmybird.org/gallery/monias_benschi/285,46_KirstyMac,242_solayan,363_Peregrin3,36_zoe
Syrrhaptes_tibetanus_2,Syrrhaptes_tibetanus,Tibetan Sandgrouse,Tring,87.5.10.45,M,Syrrhaptes,tibetanus,,,https://www.markmybird.org/gallery/syrrhaptes_tibetanus/471,56_hughbrazier,43_elliot,114_tdjames,36_zoe
Pterocles_gutturalis_1,Pterocles_gutturalis,Yellow-throated Sandgrouse,Tring,1935.10.16.96,M,Pterocles,gutturalis,saturatior,Y,https://www.markmybird.org/gallery/pterocles_gutturalis/407,56_hughbrazier,485_oharar,372_Bullfinch,43_elliot
Attagis_gayi_1,Attagis_gayi,Rufous-bellied Seedsnipe,Tring,91.10.21.316,M,Attagis,gayi,,Y,https://www.markmybird.org/gallery/attagis_gayi/3363,44_Chris,40_chris13,485_oharar,
Thinocorus_rumicivorus_4,Thinocorus_rumicivorus,Least Seedsnipe,Tring,1903.12.30.217,M,Thinocorus,rumicivorus,patagonicus,Y,https://www.markmybird.org/gallery/thinocorus_rumicivorus/485,36_zoe,43_elliot,363_Peregrin3,44_Chris
Pedionomus_torquatus_1,Pedionomus_torquatus,Plains-wanderer,Tring,43.1.4.15,F,Pedionomus,torquatus,,Y,https://www.markmybird.org/gallery/pedionomus_torquatus/338,56_hughbrazier,43_elliot,363_Peregrin3,44_Chris
Scolopax_rusticola_3,Scolopax_rusticola,Eurasian Woodcock,Tring,1912.2.8.1,M,Scolopax,rusticola,rusticola,Y,https://www.markmybird.org/gallery/scolopax_rusticola/444,190_Pardalotus,175_JohnF,363_Peregrin3,43_elliot
Gallinago_gallinago_1,Gallinago_gallinago,Common Snipe,Manchester,9764,M,Gallingalo,gallingalo,,,https://www.markmybird.org/gallery/gallinago_gallinago/825,4_gavin,43_elliot,363_Peregrin3,35_Lara
Lymnocryptes_minimus_1,Lymnocryptes_minimus,Jack Snipe,Tring,1934.1.1.2413,M,Lymnocryptes,minimus,,Y,https://www.markmybird.org/gallery/lymnocryptes_minimus/970,43_elliot,363_Peregrin3,44_Chris,35_Lara
Coenocorypha_pusilla_1,Coenocorypha_pusilla,Chatham Snipe,Tring,92.10.31.1,M,Coenocorypha,aucklandica,pusilla,Y,https://www.markmybird.org/gallery/coenocorypha_pusilla/712,485_oharar,183_ThomasG,363_Peregrin3,36_zoe
Limosa_lapponica_2,Limosa_lapponica,Bar-tailed Godwit,Manchester,9399,M,Limosa,lapponica,,,https://www.markmybird.org/gallery/limosa_lapponica/253,167_Sam,232_Kal,363_Peregrin3,43_elliot
Numenius_arquata_1,Numenius_arquata,Eurasian Curlew,Manchester,9375,U,Numenius,arquata,,,https://www.markmybird.org/gallery/numenius_arquata/1089,147_EllenB75,44_Chris,50_kathrynross27,150_Jlynntran
Bartramia_longicauda_1,Bartramia_longicauda,Upland Sandpiper,Manchester,9590,M,Bartramia,longicauda,,,https://www.markmybird.org/gallery/bartramia_longicauda/38,56_hughbrazier,44_Chris,43_elliot,396_Arasevera
Tringa_ochropus_2,Tringa_ochropus,Green Sandpiper,Tring,1919.12.10.394,M,Tringa,ochropus,,Y,https://www.markmybird.org/gallery/tringa_ochropus/495,36_zoe,43_elliot,363_Peregrin3,44_Chris
Xenus_cinereus_1,Xenus_cinereus,Terek Sandpiper,Tring,1923.8.7.705,M,Xenus,cinereus,,Y,https://www.markmybird.org/gallery/xenus_cinereus/1524,183_ThomasG,465_JSquirrell,52_grrlscientist,44_Chris
Actitis_macularius_1,Actitis_macularius,Spotted Sandpiper,Manchester,9512,F,Actitis,macularis,,,https://www.markmybird.org/gallery/actitis_macularius/513,40_chris13,5_Jen,44_Chris,43_elliot
Heteroscelus_brevipes_1,Heteroscelus_brevipes,Grey-tailed Tattler,Tring,1949.Whi.1.1368,M,Tringa,brevipes,,Y,https://www.markmybird.org/gallery/heteroscelus_brevipes/1824,52_grrlscientist,444_Skite4,485_oharar,36_zoe
Catoptrophorus_semipalmatus_1,Catoptrophorus_semipalmatus,Willet,Tring,1891.10.20.1151,M,Catoptrophorus,semipalmatus,semipalmatus,Y,https://www.markmybird.org/gallery/catoptrophorus_semipalmatus/641,56_hughbrazier,370_renatag,363_Peregrin3,43_elliot
Prosobonia_cancellata_1,Prosobonia_cancellata,Tuamotu Sandpiper,Tring,1926.7.23.4,M,Aechmorhynchus,parvirostris,,Y,https://www.markmybird.org/gallery/prosobonia_cancellata/1648,35_Lara,396_Arasevera,52_grrlscientist,44_Chris
Arenaria_interpres_2,Arenaria_interpres,Ruddy Turnstone,Tring,1937.10.17.114,M,Arenaria,interpres,interpres,Y,https://www.markmybird.org/gallery/arenaria_interpres/73,56_hughbrazier,183_ThomasG,44_Chris,396_Arasevera
Limnodromus_semipalmatus_1,Limnodromus_semipalmatus,Asian Dowitcher,Tring,1929.1.25.1,M,Limnodromus,semipalmatus,,Y,https://www.markmybird.org/gallery/limnodromus_semipalmatus/252,167_Sam,4_gavin,363_Peregrin3,44_Chris
Aphriza_virgata_2,Aphriza_virgata,Surfbird,Tring,1965.M.3222,M,Aphriza,virgata,,,https://www.markmybird.org/gallery/aphriza_virgata/3634,40_chris13,41_Emma,696_RichardParker,36_zoe
Calidris_tenuirostris_1,Calidris_tenuirostris,Great Knot,Tring,96.7.1.1140,M,Calidris,canutus,tenuirostris,Y,https://www.markmybird.org/gallery/calidris_tenuirostris/83,75_laurenofleming,211_JohnR,363_Peregrin3,44_Chris
Tryngites_subruficollis_4,Tryngites_subruficollis,Buff-breasted Sandpiper,Tring,91.10.20.1243,M,Tryngites,subruficollis,,,https://www.markmybird.org/gallery/tryngites_subruficollis/1502,40_chris13,36_zoe,5_Jen,44_Chris
Eurynorhynchus_pygmeus_2,Eurynorhynchus_pygmeus,Spoon-billed Sandpiper,Tring,1948.80.3529,M,Eurynorhynchus,pygmeus,,Y,https://www.markmybird.org/gallery/eurynorhynchus_pygmeus/183,114_tdjames,233_smithwbtx2,44_Chris,43_elliot
Limicola_falcinellus_1,Limicola_falcinellus,Broad-billed Sandpiper,Tring,1941.5.30.2071,M,Limicola,falcinellus,,Y,https://www.markmybird.org/gallery/limicola_falcinellus/947,43_elliot,369_Gepwin,183_ThomasG,36_zoe
Philomachus_pugnax_1,Philomachus_pugnax,Ruff,Manchester,9584,F,Philomachus,pugnax,,,https://www.markmybird.org/gallery/philomachus_pugnax/1266,43_elliot,44_Chris,52_grrlscientist,36_zoe
Steganopus_tricolor_1,Steganopus_tricolor,Wilson's Phalarope,Tring,91.10.20.449,M,Phalaropus,tricolor,,Y,https://www.markmybird.org/gallery/steganopus_tricolor/462,56_hughbrazier,43_elliot,363_Peregrin3,44_Chris
Phalaropus_fulicarius_1,Phalaropus_fulicarius,Red Phalarope,Manchester,9808,F,Phalaropus,fulicarius,,,https://www.markmybird.org/gallery/phalaropus_fulicarius/1258,36_zoe,44_Chris,529_EmmaD,43_elliot
Rostratula_benghalensis_4,Rostratula_benghalensis,Greater Painted-snipe,Tring,91.101.1.2045,M,Rostratula,benghalensis,,,https://www.markmybird.org/gallery/rostratula_benghalensis/429,190_Pardalotus,645_justinwalker,369_Gepwin,35_Lara
Actophilornis_albinucha_1,Actophilornis_albinucha,Madagascar Jacana,Tring,1931.8.18.843,M,Actophilornis,albinucha,,Y,https://www.markmybird.org/gallery/actophilornis_albinucha/65,485_oharar,35_Lara,43_elliot,44_Chris
Microparra_capensis_1,Microparra_capensis,Lesser Jacana,Tring,1962.24.8,M,Microparra,capensis,,Y,https://www.markmybird.org/gallery/microparra_capensis/3403,44_Chris,43_elliot,541_W.W,
Irediparra_gallinacea_3,Irediparra_gallinacea,Comb-crested Jacana,Tring,1900.6.11.200,M,Irediparra,gallinacea,novaehollandiae,,https://www.markmybird.org/gallery/irediparra_gallinacea/240,4_gavin,363_Peregrin3,43_elliot,
Hydrophasianus_chirurgus_1,Hydrophasianus_chirurgus,Pheasant-tailed Jacana,Tring,92.1.25.86,M,Hydrophasianus,chirurgus,,Y,https://www.markmybird.org/gallery/hydrophasianus_chirurgus/3389,40_chris13,36_zoe,43_elliot,44_Chris
Metopidius_indicus_1,Metopidius_indicus,Bronze-winged Jacana,Tring,1955.1.802,M,Metopidius,indicus,,Y,https://www.markmybird.org/gallery/metopidius_indicus/1017,356_Gecko097,4_gavin,44_Chris,35_Lara
Jacana_spinosa_1,Jacana_spinosa,Northern Jacana,Tring,1949.58.56,M,Jacana,spinosa,spinosa,Y,https://www.markmybird.org/gallery/jacana_spinosa/1799,465_JSquirrell,36_zoe,50_kathrynross27,44_Chris
Chionis_albus_1,Chionis_albus,Snowy Sheathbill,Tring,2001.28.1,M,Chionis,alba,,,https://www.markmybird.org/gallery/chionis_albus/665,40_chris13,44_Chris,43_elliot,36_zoe
Pluvianellus_socialis_2,Pluvianellus_socialis,Magellanic Plover,Tring,55.12.19.38,U,Pluvianellus,socialis,,Y,https://www.markmybird.org/gallery/pluvianellus_socialis/374,190_Pardalotus,485_oharar,44_Chris,43_elliot
Burhinus_superciliaris_3,Burhinus_superciliaris,Peruvian Thick-knee,Tring,92.12.24.32,M,Burhinus,superciliaris,,Y,https://www.markmybird.org/gallery/burhinus_superciliaris/79,78_SqueakyFrancis,56_hughbrazier,363_Peregrin3,44_Chris
Esacus_recurvirostris_1,Esacus_recurvirostris,Great Thick-knee,Tring,1937.1.7.817,M,Esacus,recurvirostris,,Y,https://www.markmybird.org/gallery/esacus_recurvirostris/799,304_CLRowe,43_elliot,44_Chris,35_Lara
Haematopus_longirostris_3,Haematopus_longirostris,Pied Oystercatcher,Tring,1905.12.26.477,U,Haematopus,ostralegus,longirostris,Y,https://www.markmybird.org/gallery/haematopus_longirostris/216,44_Chris,5_Jen,40_chris13,
Ibidorhyncha_struthersii_3,Ibidorhyncha_struthersii,Ibisbill,Tring,1906.1.8.284,M,Ibidorhyncha,struthersii,,Y,https://www.markmybird.org/gallery/ibidorhyncha_struthersii/237,5_Jen,40_chris13,696_RichardParker,
Himantopus_himantopus_1,Himantopus_himantopus,Black-winged Stilt,Tring,1949.Whi.1.1215,M,Himantopus,himantopus,himantopus,Y,https://www.markmybird.org/gallery/himantopus_himantopus/230,44_Chris,4_gavin,43_elliot,36_zoe
Cladorhynchus_leucocephalus_1,Cladorhynchus_leucocephalus,Banded Stilt,Tring,46.55,U,Cladorhynchus,leucocephalus,,Y,https://www.markmybird.org/gallery/cladorhynchus_leucocephalus/698,48_okeeffeml,363_Peregrin3,20_angela,36_zoe
Recurvirostra_avosetta_2,Recurvirostra_avosetta,Pied Avocet,Tring,91.10.1.1945,M,Recurvirostra,avosetta,,Y,https://www.markmybird.org/gallery/recurvirostra_avosetta/420,207_JCooper,190_Pardalotus,363_Peregrin3,43_elliot
Pluvialis_squatarola_1,Pluvialis_squatarola,Grey Plover,Tring,93.1.25.85,M,Pluvialis,squatarola,,Y,https://www.markmybird.org/gallery/pluvialis_squatarola/373,645_justinwalker,43_elliot,44_Chris,36_zoe
Charadrius_vociferus_1,Charadrius_vociferus,Killdeer,Tring,85.7.24.110,M,Charadrius,vociferus,vociferus,Y,https://www.markmybird.org/gallery/charadrius_vociferus/111,70_katie,18_millie,43_elliot,44_Chris
Thinornis_rubricollis_1,Thinornis_rubricollis,Hooded Plover,Tring,81.11.7.618,U,Charadrius,rubricollis,,Y,https://www.markmybird.org/gallery/thinornis_rubricollis/3434,35_Lara,36_zoe,43_elliot,44_Chris
Erythrogonys_cinctus_1,Erythrogonys_cinctus,Red-kneed Dotterel,Tring,96.7.1.179,M,Charadrius,cinctus,,Y,https://www.markmybird.org/gallery/erythrogonys_cinctus/3381,40_chris13,44_Chris,35_Lara,
Eudromias_morinellus_3,Eudromias_morinellus,Eurasian Dotterel,Tring,1965.M.2931,M,Eudromias,morinellus,,Y,https://www.markmybird.org/gallery/eudromias_morinellus/179,41_Emma,480_KateB,44_Chris,43_elliot
Oreopholus_ruficollis_5,Oreopholus_ruficollis,Tawny-throated Dotterel,Tring,1920.12.20.62,M,Oreopholus,ruficollis,,Y,https://www.markmybird.org/gallery/oreopholus_ruficollis/317,592_angelaMc,200_drmtbishop,43_elliot,44_Chris
Anarhynchus_frontalis_3,Anarhynchus_frontalis,Wrybill,Tring,91.10.1.313,M,Anarhynchus,frontalis,,Y,https://www.markmybird.org/gallery/anarhynchus_frontalis/47,40_chris13,43_elliot,4_gavin,44_Chris
Phegornis_mitchellii_1,Phegornis_mitchellii,Diademed Sandpiper-plover,Tring,1946.49.190,M,Phegornis,mitchelli,,Y,https://www.markmybird.org/gallery/phegornis_mitchellii/3419,41_Emma,35_Lara,36_zoe,44_Chris
Elseyornis_melanops_1,Elseyornis_melanops,Black-fronted Dotterel,Tring,1925.11.1.496,M,Elseyornis,melanops,,Y,https://www.markmybird.org/gallery/elseyornis_melanops/1889,52_grrlscientist,36_zoe,44_Chris,41_Emma
Vanellus_vanellus_1,Vanellus_vanellus,Northern Lapwing,Tring,1941.5.30.1665,M,Vanellus,vanellus,,Y,https://www.markmybird.org/gallery/vanellus_vanellus/501,44_Chris,278_I,363_Peregrin3,43_elliot
Dromas_ardeola_2,Dromas_ardeola,Crab Plover,Tring,1940.12.3.625,M,Dromas,ardeola,,Y,https://www.markmybird.org/gallery/dromas_ardeola/165,44_Chris,56_hughbrazier,43_elliot,36_zoe
Pluvianus_aegyptius_2,Pluvianus_aegyptius,Egyptian Plover,Tring,1928.7.20.20,M,Pluvianus,aegyptius,aegyptius,Y,https://www.markmybird.org/gallery/pluvianus_aegyptius/375,190_Pardalotus,43_elliot,366_Gandalf19,36_zoe
Rhinoptilus_africanus_1,Rhinoptilus_africanus,Double-banded Courser,Tring,1903.3.9.782,M,Rhinoptilus,africanus,granti,Y,https://www.markmybird.org/gallery/rhinoptilus_africanus/1620,465_JSquirrell,40_chris13,5_Jen,35_Lara
Cursorius_cursor_1,Cursorius_cursor,Cream-coloured Courser,Tring,1927.4.8.3,M,Cursorius,cursor,cursor,Y,https://www.markmybird.org/gallery/cursorius_cursor/3377,485_oharar,44_Chris,43_elliot,
Glareola_pratincola_1,Glareola_pratincola,Collared Pratincole,Tring,1934.1.1.2108,M,Glareola,pranticola,pranticola,Y,https://www.markmybird.org/gallery/glareola_pratincola/838,278_I,20_angela,363_Peregrin3,36_zoe
Stiltia_isabella_1,Stiltia_isabella,Australian Pratincole,Tring,73.5.12.2279,M,Stiltia,isabella,,Y,https://www.markmybird.org/gallery/stiltia_isabella/1435,43_elliot,52_grrlscientist,36_zoe,44_Chris
Stercorarius_longicaudus_2,Stercorarius_longicaudus,Long-tailed Jaeger,Tring,1965.M.4109,M,Stercorarius,longicaudus,,,https://www.markmybird.org/gallery/stercorarius_longicaudus/1432,43_elliot,52_grrlscientist,36_zoe,44_Chris
Rynchops_niger_1,Rynchops_niger,Black Skimmer,Tring,1920.9.30.17,M,Rhynchops,nigra,intercedens,Y,https://www.markmybird.org/gallery/rynchops_niger/508,40_chris13,5_Jen,43_elliot,44_Chris
Leucophaeus_scoresbii_1,Leucophaeus_scoresbii,Dolphin Gull,Tring,1938.12.19.78,M,Gabianus,scoresbii,,Y,https://www.markmybird.org/gallery/leucophaeus_scoresbii/942,317_sumdumfu,369_Gepwin,114_tdjames,44_Chris
Larus_saundersi_1,Larus_saundersi,Saunders's Gull,Tring,1905.12.24.989,M,Larus,saundersi,,Y,https://www.markmybird.org/gallery/larus_saundersi/244,60_aidangill,48_okeeffeml,363_Peregrin3,43_elliot
Pagophila_eburnea_1,Pagophila_eburnea,Ivory Gull,Manchester,9095,U,Pagophila,eburnea,,,https://www.markmybird.org/gallery/pagophila_eburnea/1125,43_elliot,369_Gepwin,44_Chris,36_zoe
Rhodostethia_rosea_1,Rhodostethia_rosea,Ross's Gull,Tring,93348,M,Rhodostethia,rosea,,Y,https://www.markmybird.org/gallery/rhodostethia_rosea/1373,40_chris13,5_Jen,43_elliot,44_Chris
Xema_sabini_1,Xema_sabini,Sabine's Gull,Tring,1947.6.4,M,Xema,sabini,,,https://www.markmybird.org/gallery/xema_sabini/1521,50_kathrynross27,36_zoe,52_grrlscientist,43_elliot
Creagrus_furcatus_1,Creagrus_furcatus,Swallow-tailed Gull,Tring,99.9.1.599,M,Creagrus,furcatus,,Y,https://www.markmybird.org/gallery/creagrus_furcatus/726,40_chris13,5_Jen,44_Chris,43_elliot
Rissa_tridactyla_2,Rissa_tridactyla,Black-legged Kittiwake,Manchester,8211,M,Rissa,tridactyla,,,https://www.markmybird.org/gallery/rissa_tridactyla/1382,40_chris13,5_Jen,592_angelaMc,
Sterna_nilotica_2,Sterna_nilotica,Gull-billed Tern,Tring,1901.5.20.25,M,Sterna,nilotica,nilotica,,https://www.markmybird.org/gallery/sterna_nilotica/463,56_hughbrazier,266_Accipiter15,363_Peregrin3,43_elliot
Chlidonias_hybrida_2,Chlidonias_hybrida,Whiskered Tern,Manchester,8880,M,Chlidonias,hybrida,,,https://www.markmybird.org/gallery/chlidonias_hybrida/668,4_gavin,369_Gepwin,363_Peregrin3,36_zoe
Phaetusa_simplex_1,Phaetusa_simplex,Large-billed Tern,Tring,1910.7.9.114,M,Phaetusa,simplex,simplex,Y,https://www.markmybird.org/gallery/phaetusa_simplex/348,190_Pardalotus,43_elliot,44_Chris,36_zoe
Anous_stolidus_4,Anous_stolidus,Brown Noddy,Tring,98.9.16.36,M,Anous,stolidus,stolidus,,https://www.markmybird.org/gallery/anous_stolidus/36,43_elliot,44_Chris,363_Peregrin3,396_Arasevera
Procelsterna_cerulea_1,Procelsterna_cerulea,Blue Noddy,Tring,3945,F,Procelsterna,cerulea,cerulea,Y,https://www.markmybird.org/gallery/procelsterna_cerulea/1316,43_elliot,36_zoe,52_grrlscientist,44_Chris
Gygis_alba_1,Gygis_alba,Common White Tern,Tring,1906.12.21.7,M,Gygis,alba,,Y,https://www.markmybird.org/gallery/gygis_alba/214,56_hughbrazier,592_angelaMc,43_elliot,44_Chris
Larosterna_inca_1,Larosterna_inca,Inca Tern,Tring,1939.7.18.8,M,Larosterna,inca,,Y,https://www.markmybird.org/gallery/larosterna_inca/935,317_sumdumfu,369_Gepwin,364_cjam,35_Lara
Alle_alle_2,Alle_alle,Little Auk,Manchester,NA,F,Alle,alle,,,https://www.markmybird.org/gallery/alle_alle/536,35_Lara,40_chris13,696_RichardParker,
Uria_aalge_1,Uria_aalge,Common Guillemot,Manchester,8837,F,Uria,aalge,,,https://www.markmybird.org/gallery/uria_aalge/1162,43_elliot,369_Gepwin,44_Chris,677_Eleanor
Alca_torda_2,Alca_torda,Razorbill,Manchester,8820,U,Alca,torda,,,https://www.markmybird.org/gallery/alca_torda/528,48_okeeffeml,363_Peregrin3,220_birdloverus,43_elliot
Cepphus_grylle_1,Cepphus_grylle,Black Guillemot,Tring,1919.12.10.687,M,Cepphus,grylle,arcticus,Y,https://www.markmybird.org/gallery/cepphus_grylle/104,43_elliot,190_Pardalotus,363_Peregrin3,44_Chris
